PWM1,PWM2,PWM3,PWM4,Thrust
229.7417494,203.7641266,207.5831954,184.1397065,3.845645097
229.6047302,204.293684,208.0521252,184.1713956,3.850781554
227.8419639,206.4051471,207.1715945,185.6096205,3.855929402
225.5969368,209.4070804,205.785891,187.9151776,3.863075027
224.0428892,212.143088,204.8069711,190.1282393,3.870475278
223.4514835,213.3397749,204.404249,191.1413228,3.868615039
224.2425197,213.3117946,204.9945026,191.2306566,3.865711416
225.7116823,212.622309,206.0346002,190.8383534,3.863757126
226.8204814,211.9216498,206.7043539,190.4783397,3.863196413
226.8273659,211.514637,206.4458056,190.3902591,3.863276282
226.212041,211.7140397,205.8025436,190.8728086,3.872121476
225.5710876,212.0767951,205.379229,191.573499,3.889810205
225.2544463,211.8534391,205.5119733,191.8470763,3.909616559
225.5432757,210.9020767,206.4342651,191.5332934,3.928487765
226.4395399,209.7443938,208.0609028,190.9867752,3.946655135
227.4372905,208.9445309,209.7575498,190.5451913,3.960992879
227.7719902,208.6118861,210.6008166,190.1470977,3.963465884
227.7387689,209.0871415,210.68389,190.0448949,3.959439706
227.7745289,210.1337263,210.381159,190.1220533,3.952770646
228.143684,211.1774308,210.1296055,190.1208945,3.945064149
228.4085506,211.4541369,209.9135143,189.7100588,3.931393175
228.5818017,211.3428856,210.1982568,189.5777961,3.920510185
228.0896192,211.1464337,210.7519464,190.1650175,3.912713134
226.4515313,211.0700225,211.0810123,191.5580241,3.904525773
223.810596,211.1501743,210.8626641,193.4318677,3.892991448
221.3755665,211.5752855,210.4916157,195.4531605,3.884053407
220.1767473,212.0269651,210.2038226,196.8504339,3.878764235
220.5379472,211.93817,209.8904526,196.8246389,3.873340084
222.4270512,211.3485404,209.6062676,195.4150318,3.870422826
225.2319024,210.6734657,209.3355411,193.2545627,3.87347261
227.8664995,210.2550165,208.8611947,191.0324716,3.881012441
229.1425608,209.9794287,207.7886814,188.9883008,3.883959187
229.2888468,210.2052682,206.709594,187.6597541,3.886332792
228.846431,210.8263887,206.0899951,187.0153385,3.88842906
228.3869025,211.5087824,206.1089682,186.7354287,3.889145465
227.9613979,211.7638061,206.3616426,186.3646279,3.884130721
227.9001269,211.983188,206.8214437,186.304929,3.882221118
227.7641804,212.2829995,206.9903921,186.7370988,3.884336391
226.8969995,212.5431518,206.387614,187.5840622,3.885940187
225.122033,212.6114276,205.0722699,188.6255204,3.882873798
223.1227035,212.5797567,203.8609059,189.7367183,3.876924208
221.531016,212.2610195,203.3881364,190.4737797,3.865670221
220.5386347,211.3167515,203.7231318,190.294459,3.843615322
220.4305207,210.106181,204.9200056,189.4185091,3.816634078
221.0593968,209.1523659,206.6290527,188.3827005,3.792683622
221.8611943,208.7604353,208.1872518,187.6514147,3.776502849
221.9540617,208.613672,208.7435086,187.1531895,3.763698441
221.6830024,208.9115648,208.6780567,187.2216214,3.761665013
221.3769773,209.3186476,208.4085253,187.5920378,3.768794423
221.333424,209.3692804,208.314949,187.7770686,3.779265866
221.5277229,208.6623944,208.4300479,187.3022621,3.784631796
222.2997849,207.7077393,209.0786747,186.5549456,3.789048451
223.3218756,206.8246763,209.9487757,185.8324096,3.791354169
223.948234,206.0763804,210.4417194,185.2798639,3.787069979
223.9219544,205.5308385,210.3420829,185.0768553,3.77577058
223.5831978,205.3037542,210.0022835,185.3995284,3.761957688
223.2276386,205.1410199,209.7086778,185.9764373,3.74570127
222.8450885,204.5299109,209.4095726,186.181917,3.722168416
222.8709779,203.7076331,209.4144404,186.000694,3.697939379
223.4012091,203.018273,209.7154265,185.5518968,3.678839894
224.1511873,202.6992182,210.0166538,184.9997802,3.667655667
224.3136779,202.4433806,209.6515055,184.2083094,3.65832372
224.123535,202.6088075,209.0264618,183.7878354,3.658375728
223.538425,202.9514526,208.3243252,183.8331696,3.665319113
222.5406838,203.0602866,207.6755551,184.1707482,3.672843661
221.1486682,202.6099441,207.0853326,184.4933145,3.673989366
219.9650048,202.0399765,206.9284977,184.9738213,3.673006278
219.1542004,201.6062063,207.0587591,185.5059878,3.670020545
218.4865855,201.3115673,206.9823449,185.8021381,3.662094907
217.9480866,201.3149154,206.5363117,185.8829649,3.652098314
217.686401,201.7875892,205.8942224,185.9713452,3.645534681
217.617075,202.5508015,205.168792,186.0960266,3.64225978
217.3365273,203.074841,204.2376263,185.9769417,3.634528607
217.1952135,203.5510736,203.6241989,185.8944677,3.625892212
217.3896129,204.0877631,203.6081481,185.9595598,3.61765411
217.9228999,204.6559625,204.1766854,186.1152398,3.610100098
218.3678452,204.8380874,204.8417183,185.9815164,3.599351575
219.0787075,204.9342452,205.8049754,185.8899412,3.596908991
219.9174092,204.8200405,206.837391,185.8338411,3.605830816
220.5637346,204.2837271,207.5815935,185.6901547,3.623317633
220.7857368,203.2974672,207.802991,185.3932631,3.643609665
220.9283189,202.4117845,207.838953,185.281995,3.666190201
221.075355,201.8767786,207.8144803,185.3732435,3.683905649
221.0224574,201.5440767,207.6002615,185.3763105,3.686228437
220.9264733,201.4343663,207.4110076,185.2762087,3.673015881
220.9888357,201.4982701,207.4889337,185.1217622,3.65013416
221.1315574,201.4640475,207.7733935,184.8222962,3.623096227
220.8612018,200.8315975,207.7569673,184.0425602,3.592028682
220.4623022,200.0383475,207.6128631,183.1889923,3.568480068
220.0053952,199.442436,207.2865821,182.4952555,3.55641116
219.4624841,199.2719222,206.6466447,182.0387597,3.553691013
218.5917381,199.3689491,205.4191643,181.5934136,3.551452782
217.9258622,200.0220048,204.1409291,181.4432178,3.552095927
217.5567748,200.9432608,203.0143706,181.4531679,3.551581755
217.2987511,201.6007914,202.0272254,181.3094579,3.543991992
217.0256452,201.6990238,201.2155834,180.8781811,3.527802141
216.9765183,201.5125442,200.8960005,180.4564875,3.510085311
217.1003693,201.2330656,201.0190111,180.1690041,3.494650749
217.0661159,200.8356074,201.1813022,179.8790717,3.480817503
217.0737323,200.6831462,201.4269428,179.8017089,3.475264241
217.3246057,201.0080394,201.8109318,180.0785994,3.482749466
217.765954,201.7299503,202.2134699,180.6292172,3.502107641
217.8442508,202.3029721,202.134872,180.9971791,3.522698666
217.8302701,202.9225658,201.9220591,181.4371042,3.546261981
217.6980555,203.451137,201.6702101,181.8990379,3.56886522
217.4087122,203.6112479,201.4245526,182.1795072,3.585889535
216.9048829,203.0114278,201.1298971,181.9336619,3.59279164
216.8287515,201.9646678,201.2906657,181.438223,3.59823292
217.3090163,200.6168801,201.8752637,180.7915611,3.605328042
217.9720341,199.09391,202.4014235,180.0551435,3.612145607
218.4153471,197.827785,202.4534995,179.5536646,3.618008146
218.4869116,197.43087,201.9792197,179.7582751,3.624828604
217.9879659,197.9494939,200.9972657,180.5991722,3.628923667
216.77648,198.6914823,199.6278508,181.3250959,3.621626456
215.6480751,199.1884262,198.8209405,181.4241995,3.60589115
215.3971496,198.9026243,199.3909737,180.4071469,3.586037537
